) -> ): Probability = 0.36, Count = 512
) -> 2: Probability = 0.00, Count = 5
) -> +: Probability = 0.03, Count = 40
) -> nextInt: Probability = 0.02, Count = 28
) -> i: Probability = 0.03, Count = 45
) -> {: Probability = 0.01, Count = 16
) -> (: Probability = 0.09, Count = 127
) -> result: Probability = 0.00, Count = 1
) -> c: Probability = 0.00, Count = 6
) -> ;: Probability = 0.07, Count = 106
) -> for: Probability = 0.00, Count = 7
) -> idx: Probability = 0.00, Count = 1
) -> }: Probability = 0.02, Count = 30
) -> 0: Probability = 0.01, Count = 18
) -> 6: Probability = 0.00, Count = 1
) -> ]: Probability = 0.02, Count = 34
) -> List: Probability = 0.00, Count = 1
) -> n: Probability = 0.01, Count = 10
) -> list: Probability = 0.00, Count = 2
) -> a: Probability = 0.00, Count = 7
) -> r: Probability = 0.00, Count = 1
) -> max: Probability = 0.00, Count = 2
) -> ans: Probability = 0.01, Count = 11
) -> =: Probability = 0.02, Count = 35
) -> s: Probability = 0.00, Count = 3
) -> *: Probability = 0.00, Count = 7
) -> S: Probability = 0.00, Count = 1
) -> &: Probability = 0.00, Count = 2
) -> >: Probability = 0.00, Count = 6
) -> next: Probability = 0.00, Count = 4
) -> .: Probability = 0.04, Count = 64
) -> System: Probability = 0.01, Count = 9
) -> [: Probability = 0.02, Count = 24
) -> num: Probability = 0.00, Count = 1
) -> out: Probability = 0.00, Count = 7
) -> return: Probability = 0.00, Count = 4
) -> ,: Probability = 0.00, Count = 6
) -> slove: Probability = 0.00, Count = 1
) -> m: Probability = 0.00, Count = 1
) -> java: Probability = 0.00, Count = 4
) -> sc: Probability = 0.01, Count = 16
) -> C: Probability = 0.00, Count = 1
) -> ondo: Probability = 0.00, Count = 1
) -> dp: Probability = 0.00, Count = 2
) -> int: Probability = 0.01, Count = 13
) -> -: Probability = 0.01, Count = 10
) -> day: Probability = 0.00, Count = 1
) -> <: Probability = 0.01, Count = 11
) -> colors: Probability = 0.00, Count = 1
) -> println: Probability = 0.00, Count = 4
) -> 1: Probability = 0.01, Count = 9
) -> throws: Probability = 0.00, Count = 2
) -> long: Probability = 0.00, Count = 7
) -> T1: Probability = 0.00, Count = 1
) -> c2: Probability = 0.00, Count = 1
) -> |: Probability = 0.00, Count = 2
) -> Math: Probability = 0.01, Count = 9
) -> Scanner: Probability = 0.00, Count = 3
) -> if: Probability = 0.00, Count = 7
) -> min: Probability = 0.00, Count = 2
) -> j: Probability = 0.00, Count = 2
) -> import: Probability = 0.00, Count = 2
) -> try: Probability = 0.00, Count = 2
) -> total: Probability = 0.00, Count = 1
) -> ': Probability = 0.00, Count = 2
) -> x: Probability = 0.00, Count = 6
) -> main: Probability = 0.00, Count = 3
) -> ": Probability = 0.00, Count = 5
) -> Yay: Probability = 0.00, Count = 2
) -> f: Probability = 0.00, Count = 1
) -> up: Probability = 0.00, Count = 1
) -> reverseOrder: Probability = 0.00, Count = 2
) -> util: Probability = 0.00, Count = 1
) -> diff: Probability = 0.00, Count = 1
) -> PrintWriter: Probability = 0.00, Count = 2
) -> %: Probability = 0.00, Count = 5
) -> k: Probability = 0.00, Count = 4
) -> b: Probability = 0.00, Count = 5
) -> new: Probability = 0.00, Count = 2
) -> MyScanner: Probability = 0.00, Count = 1
) -> sum_interval: Probability = 0.00, Count = 1
) -> Map: Probability = 0.00, Count = 1
) -> nextLong: Probability = 0.00, Count = 3
) -> while: Probability = 0.00, Count = 1
) -> ret: Probability = 0.00, Count = 1
) -> else: Probability = 0.00, Count = 2
) -> M: Probability = 0.00, Count = 2
) -> YES: Probability = 0.00, Count = 1
) -> cnt5: Probability = 0.00, Count = 1
) -> NO: Probability = 0.00, Count = 1
) -> A: Probability = 0.00, Count = 1
) -> A_y: Probability = 0.00, Count = 1
) -> cos: Probability = 0.00, Count = 1
) -> in: Probability = 0.00, Count = 4
) -> double: Probability = 0.00, Count = 2
) -> flush: Probability = 0.00, Count = 2
) -> close: Probability = 0.00, Count = 1
) -> seed: Probability = 0.00, Count = 1
) -> length: Probability = 0.00, Count = 2
) -> index: Probability = 0.00, Count = 1
) -> masked: Probability = 0.00, Count = 1
) -> rep: Probability = 0.00, Count = 1
) -> StringBuilder: Probability = 0.00, Count = 1
) -> !: Probability = 0.00, Count = 2
) -> StringTokenizer: Probability = 0.00, Count = 1
) -> InputStreamReader: Probability = 0.00, Count = 1
) -> Double: Probability = 0.00, Count = 1
) -> ?: Probability = 0.00, Count = 1
) -> private: Probability = 0.00, Count = 1
) -> oddAdopt: Probability = 0.00, Count = 1
) -> cnt1: Probability = 0.00, Count = 1
) -> max0_2: Probability = 0.00, Count = 1
) -> cnt0: Probability = 0.00, Count = 1
) -> max0_1: Probability = 0.00, Count = 1
) -> maxEven: Probability = 0.00, Count = 2
) -> maxOdd: Probability = 0.00, Count = 4
) -> vEven: Probability = 0.00, Count = 2
) -> 99999: Probability = 0.00, Count = 1
) -> Y: Probability = 0.00, Count = 1
) -> charAt: Probability = 0.00, Count = 1
) -> 60: Probability = 0.00, Count = 1
) -> po: Probability = 0.00, Count = 1
) -> continue: Probability = 0.00, Count = 1
) -> score: Probability = 0.00, Count = 1
) -> N: Probability = 0.00, Count = 1
) -> X: Probability = 0.00, Count = 1
) -> p: Probability = 0.00, Count = 1
) -> 101: Probability = 0.00, Count = 1
) -> l: Probability = 0.00, Count = 1
) -> size: Probability = 0.00, Count = 4
) -> stdIn: Probability = 0.00, Count = 1
